427	PHF1	protein
428	STX3	protein
429	HADHB	protein
430	TP53	protein
431	REL	protein
432	MIRLET7E	protein
433	MED17	protein
434	MAPK1	protein
435	PSMB2	protein
436	CERS6	protein
437	GNL3	protein
438	MAPK8IP3	protein
439	FHIT	protein
440	EWSR1	protein
441	SMARCAD1	protein
442	MIR15B	protein
443	SPTBN4	protein
444	SYVN1	protein
445	APOA1	protein
446	GPC4	protein
447	EDA2R	protein
448	BRD4	protein
449	PTGS2	protein
450	C1QB	protein
451	RAB35	protein
452	HGS	protein
453	SNW1	protein
454	CUL3	protein
455	CTNNB1	protein
456	PEX19	protein
457	HDAC2	protein
458	SLC9A6	protein
459	MAF	protein
460	FRS2	protein
461	HNF4G	protein
462	HUWE1	protein
463	MIR199A1	protein
464	HSPA5	protein
465	CCR3	protein
466	EP300	protein
467	PPP1R15A	protein
468	DAPK1	protein
469	PDIA3	protein
470	SLC15A1	protein
471	PPIF	protein
472	REXO2	protein
473	EDAR	protein
474	ATP6V1B1	protein
475	VDAC3	protein
476	PAFAH1B1	protein
477	KSR1	protein
478	RFC5	protein
479	CUL4A	protein
480	PTPN1	protein
481	ITGA4	protein
482	OSM	protein
483	BECN1	protein
484	CDC25C	protein
485	MRPL10	protein
486	MIR9-2	protein
487	UBE4B	protein
488	RFC4	protein
489	TBXA2R	protein
490	DAAM2	protein
491	DGUOK	protein
492	PIAS2	protein
493	MRPL23	protein
494	RXYLT1	protein
495	IL12B	protein
496	CPSF2	protein
497	DDIT4	protein
498	COX5A	protein
499	RFC1	protein
500	BIN1	protein
501	ATP1B1	protein
502	PAN2	protein
503	ATP13A2	protein
504	GLI1	protein
505	COX17	protein
506	TPSB2	protein
507	HNRNPA1	protein
508	SYMPK	protein
509	PYCARD	protein
510	GRK2	protein
511	THBS3	protein
512	MRPL2	protein
513	SIRT2	protein
514	TAF12	protein
515	FXYD1	protein
516	SERPINB13	protein
517	FOXM1	protein
518	MTOR	protein
519	HSP90AA1	protein
520	RAF1	protein
521	DDX42	protein
522	CDC37	protein
523	NFYC	protein
524	RPTOR	protein
525	HERC2	protein
526	HSPA8	protein
527	IFI16	protein
528	NXF2	protein
529	FUT1	protein
530	PARK7	protein
531	PSMA4	protein
532	ATF2	protein
533	ACTR2	protein
534	PSMD11	protein
535	RPA1	protein
536	MDM2	protein
537	GTSE1	protein
538	MECP2	protein
539	CREBBP	protein
540	PTPN11	protein
541	PAFAH1B3	protein
542	PAICS	protein
543	NCL	protein
544	DNAJB6	protein
545	SMC3	protein
546	THOC2	protein
547	EMD	protein
548	RPL7	protein
549	RAG1	protein
550	BIRC6	protein
551	MED4	protein
552	RHOC	protein
553	FN1	protein
554	KMT2E	protein
555	EPOR	protein
556	FARS2	protein
557	MIR7-2	protein
558	MAP3K12	protein
559	RPL10	protein
560	ATXN1L	protein
561	NRP1	protein
562	SH3GLB1	protein
563	SYNPO	protein
564	UNG	protein
565	ACKR3	protein
566	FOXO1	protein
567	BRCC3	protein
568	SFN	protein
569	LYPLA2	protein
570	COX4I1	protein
571	HOGA1	protein
572	RPL5	protein
573	MUS81	protein
574	MPV17	protein
575	TAF3	protein
576	PRKAR1A	protein
577	BAX	protein
578	ESPL1	protein
579	NUP98	protein
580	CPSF1	protein
581	MIRLET7G	protein
582	CEP164	protein
583	RPL13	protein
584	ACO2	protein
585	PAIP1	protein
586	MRPL4	protein
587	CAPN2	protein
588	MVD	protein
589	PSMB1	protein
590	CAPZB	protein
591	FES	protein
592	SCP2	protein
593	TAB2	protein
594	IDH1	protein
595	CD44	protein
596	SH3BP2	protein
597	REXO1	protein
598	SPTA1	protein
599	GNG5	protein
600	ANAPC4	protein
601	SMARCE1	protein
602	IL23A	protein
603	RPS6KA2	protein
604	PLK1	protein
605	IKBKG	protein
606	CSNK2A1	protein
607	DCAF1	protein
608	IPPK	protein
609	SKAP1	protein
610	STX8	protein
611	MANBA	protein
612	PSME3	protein
613	TP63	protein
614	MYLK2	protein
615	ARHGEF1	protein
616	EIF3F	protein
617	FBXL2	protein
618	SMAD4	protein
619	PPP1R12A	protein
620	GZMA	protein
621	NR3C2	protein
622	KAT8	rna
623	KAT8	dna
624	NR1H3	rna
625	NR1H3	dna
626	PSMB3	rna
627	PSMB3	dna
628	EIF6	rna
629	EIF6	dna
630	ENO2	rna
631	ENO2	dna
632	H2AW	rna
633	H2AW	dna
634	FBXW11	rna
635	FBXW11	dna
636	RPL26L1	rna
637	RPL26L1	dna
638	POLR1B	rna
639	POLR1B	dna
640	AR	rna
641	AR	dna
642	ORC6	rna
643	ORC6	dna
644	MIR34A	rna
645	MIR34A	dna
646	ADRB2	rna
647	ADRB2	dna
648	FBL	rna
649	FBL	dna
650	ATXN3	rna
651	ATXN3	dna
652	HYAL4	rna
653	HYAL4	dna
654	LIPG	rna
655	LIPG	dna
656	MIR145	rna
657	MIR145	dna
658	TSG101	rna
659	TSG101	dna
660	SUMO1	rna
661	SUMO1	dna
662	WWOX	rna
663	WWOX	dna
664	AGO2	rna
665	AGO2	dna
666	THBS1	rna
667	THBS1	dna
668	NUP160	rna
669	NUP160	dna
670	POLD2	rna
671	POLD2	dna
672	LMO7	rna
673	LMO7	dna
674	GOLGA2	rna
675	GOLGA2	dna
676	BACE2	rna
677	BACE2	dna
678	EGFR	rna
679	EGFR	dna
680	COX6C	rna
681	COX6C	dna
682	MAPK7	rna
683	MAPK7	dna
684	CCNT1	rna
685	CCNT1	dna
686	IRF5	rna
687	IRF5	dna
688	DPYSL2	rna
689	DPYSL2	dna
690	F2R	rna
691	F2R	dna
692	FLI1	rna
693	FLI1	dna
694	MIR214	rna
695	MIR214	dna
696	CTBP1	rna
697	CTBP1	dna
698	SENP2	rna
699	SENP2	dna
700	PSMD3	rna
701	PSMD3	dna
702	AMBRA1	rna
703	AMBRA1	dna
704	LARS1	rna
705	LARS1	dna
706	IL6ST	rna
707	IL6ST	dna
708	ARHGEF2	rna
709	ARHGEF2	dna
710	AURKA	rna
711	AURKA	dna
712	BABAM2	rna
713	BABAM2	dna
714	WDR36	rna
715	WDR36	dna
716	GATA3	rna
717	GATA3	dna
718	S100A1	rna
719	S100A1	dna
720	WT1	rna
721	WT1	dna
722	ATXN7	rna
723	ATXN7	dna
724	IL5	rna
725	IL5	dna
726	IL12RB2	rna
727	IL12RB2	dna
728	COX14	rna
729	COX14	dna
730	NTRK1	rna
731	NTRK1	dna
732	NEFH	rna
733	NEFH	dna
734	SKIL	rna
735	SKIL	dna
736	SGPP1	rna
737	SGPP1	dna
738	EDEM1	rna
739	EDEM1	dna
740	SIRT1	rna
741	SIRT1	dna
742	SLC4A1	rna
743	SLC4A1	dna
744	PGR	rna
745	PGR	dna
746	ZNF746	rna
747	ZNF746	dna
748	HDAC5	rna
749	HDAC5	dna
750	PIK3R1	rna
751	PIK3R1	dna
752	NCBP1	rna
753	NCBP1	dna
754	SMURF1	rna
755	SMURF1	dna
756	PPP1CB	rna
757	PPP1CB	dna
758	SEC13	rna
759	SEC13	dna
760	ATP2B2	rna
761	ATP2B2	dna
762	TRADD	rna
763	TRADD	dna
764	PGAM5	rna
765	PGAM5	dna
766	TARDBP	rna
767	TARDBP	dna
768	UIMC1	rna
769	UIMC1	dna
770	ICAM1	rna
771	ICAM1	dna
772	LSM1	rna
773	LSM1	dna
774	UBE2E2	rna
775	UBE2E2	dna
776	FGF2	rna
777	FGF2	dna
778	EEF1A1	rna
779	EEF1A1	dna
780	RPS6KB1	rna
781	RPS6KB1	dna
782	MTAP	rna
783	MTAP	dna
784	CTH	rna
785	CTH	dna
786	ZNF7	rna
787	ZNF7	dna
788	PSMA2	rna
789	PSMA2	dna
790	MIR1-2	rna
