610	XRCC6
611	YAP1
612	YME1L1
613	YWHAB
614	YWHAG
615	YWHAH
616	ZBTB16
617	ZNF324B
618	ZNF431
619	ZNF7
620	ZNF746
621	ZYX
