382	NDRG1	protein
383	PIK3R2	protein
384	PSMA1	protein
385	PSMB9	protein
386	CERS6	protein
387	REXO1	protein
388	SYMPK	protein
389	CUL4B	protein
390	RPS6KB1	protein
391	MANBA	protein
392	CCND1	protein
393	ITGA4	protein
394	SPTA1	protein
395	S100A9	protein
396	CPSF1	protein
397	GADD45A	protein
398	SUMO1	protein
399	OS9	protein
400	PSMC3	protein
401	CRY1	protein
402	CCNT1	protein
403	RPL18A	protein
404	RPL23	protein
405	BIN1	protein
406	RPL5	protein
407	ICAM1	protein
408	YWHAG	protein
409	PRKAR2B	protein
410	ATP1B1	protein
411	NOTCH1	protein
412	GNB1	protein
413	SMC3	protein
414	SLC9A3R1	protein
415	OSM	protein
416	OGT	protein
417	RFC5	protein
418	PEX19	protein
419	ECH1	protein
420	LRP2	protein
421	SIRT2	protein
422	FANCG	protein
423	LAPTM5	protein
424	LARS1	protein
425	AK1	protein
426	SNRNP70	protein
427	ATXN1L	protein
428	PTPN11	protein
429	SENP2	protein
430	SKIL	protein
431	PAICS	protein
432	PDCL	protein
433	POLD2	protein
434	UBE2T	protein
435	HUWE1	protein
436	PRPF19	protein
437	HADHB	protein
438	DET1	protein
439	VAMP3	protein
440	DLG4	protein
441	CDKN1A	protein
442	GGH	protein
443	WDR5	protein
444	CASP8	protein
445	FN1	protein
446	IL12B	protein
447	CASP7	protein
448	SPTBN4	protein
449	MAGOH	protein
450	CCR4	protein
451	MCM2	protein
452	BAD	protein
453	AXIN1	protein
454	GATA3	protein
455	GMPPB	protein
456	PRKAR1A	protein
457	MIR222	protein
458	H2AW	protein
459	MIR15B	protein
460	ATP5MF	protein
461	NCOR1	protein
462	EIF6	protein
463	NTRK1	protein
464	FBXW7	protein
465	GPD1	protein
466	ARHGAP10	protein
467	POLE2	protein
468	CCL2	protein
469	SERPINB13	protein
470	CAMKK2	protein
471	ARHGEF6	protein
472	SNRPD3	protein
473	PDCD4	protein
474	U2SURP	protein
475	H2BC13	protein
476	SFN	protein
477	RALBP1	protein
478	TRADD	protein
479	HYAL4	protein
480	TAF3	protein
481	CUL4A	protein
482	ABCD1	protein
483	APOA1	protein
484	PDGFRB	protein
485	PSMD3	protein
486	CPSF2	protein
487	ATP2B2	protein
488	EXOC2	protein
489	MTNR1A	protein
490	ABRAXAS1	protein
491	CDC25C	protein
492	KAT6A	protein
493	FOXO3	protein
494	DAAM2	protein
495	TARDBP	protein
496	MDM4	protein
497	TAB1	protein
498	MAPK1	protein
499	IDH1	protein
500	CLU	protein
501	HNRNPA1	protein
502	LAMP1	protein
503	ZNF431	protein
504	SSR1	protein
505	TRA2B	protein
506	ZNF324B	protein
507	RPTOR	protein
508	PSMA4	protein
509	UBE4B	protein
510	GSK3B	protein
511	PCGF2	protein
512	MTAP	protein
513	IARS2	protein
514	CASP1	protein
515	IFNA8	protein
516	CUL5	protein
517	PDIA3	protein
518	EPHB3	protein
519	F2R	protein
520	VDAC3	protein
521	MT-ND2	protein
522	FBXL2	protein
523	ELAVL1	protein
524	HSPA5	protein
525	SAMHD1	protein
526	FBXO6	protein
527	NSF	protein
528	COX5A	protein
529	RANBP1	protein
530	AP2M1	protein
531	WT1	protein
532	IL23A	protein
533	MED17	protein
534	RAD23A	protein
535	KAT8	protein
536	ANAPC4	protein
537	IPPK	protein
538	PDHB	protein
539	CDK1	protein
540	RAF1	protein
541	HDAC5	protein
542	FOXO1	protein
543	NR3C1	protein
544	ACKR3	protein
545	EPOR	protein
546	MIR10B	protein
547	LMO7	protein
548	GLI1	protein
549	CTBP1	protein
550	FHIT	protein
551	ZNF746	protein
552	IL5	protein
553	TAB2	protein
554	LCAT	protein
555	MIR9-2	protein
556	MIR7-2	protein
557	RXRA	protein
558	TUBA1C	protein
559	BRCC3	protein
560	PGAM5	protein
561	MPV17	protein
562	RPIA	protein
563	PAN2	protein
564	REL	protein
565	EGFR	protein
566	FARS2	protein
567	DCAF1	protein
568	ISG15	protein
569	KMT2E	protein
570	PRNP	protein
571	CDC42	protein
572	RPL37A	protein
573	NR3C2	protein
574	MATR3	protein
575	DDX42	protein
576	HOGA1	protein
577	S100A1	protein
578	UBE2A	protein
579	FGB	protein
580	JAK2	protein
581	TAF15	protein
582	SYNPO	protein
583	JAM3	protein
584	WDR36	protein
585	PARK7	protein
586	B2M	protein
587	DDX20	protein
588	AKR1C2	protein
589	IL1B	protein
590	DAPK1	protein
591	PWP2	protein
592	FUT1	protein
593	IFI16	protein
594	KIT	protein
595	GRK2	protein
596	CHMP2A	protein
597	BECN1	protein
598	KEAP1	protein
599	SYCP3	protein
600	RPL13	protein
601	PSMA2	protein
602	EDA2R	protein
603	RFC4	protein
604	H4C6	protein
605	SMURF1	protein
606	IFIT1	protein
607	MIR199A1	protein
608	LSM1	protein
609	PRKN	protein
610	COX4I1	protein
611	GTSE1	protein
612	CTH	protein
613	NCK1	protein
614	MRPL4	protein
615	TJP2	protein
616	C1QB	protein
617	S100B	protein
618	NUP98	protein
619	TUBB3	protein
620	GNB3	protein
621	PIK3R1	protein
